,Unnamed: 0,Places,ID,Location,unknown,religious,pharaonic,modern,ancient,natural,romanian,humanly,fun,Islamic,Coptic,place_id
16,16,Giza Plateau,16,Giza,0,0,1,0,1,0,0,1,0,0,0,6249ee6530170c017416d0fe
17,17,Saqqara,17,Giza,0,0,1,0,1,0,0,1,0,0,0,6249ee6530170c017416d0ff
18,18,Royal Jewelry Museum,18,Alexanderia,0,0,0,1,0,0,1,1,1,0,0,6249ee6530170c017416d100
19,19,Philae,19,Aswan,0,0,1,0,1,0,0,1,0,0,0,6249ee6530170c017416d101
20,20,Abu Simbel,20,Aswan,0,0,1,0,1,0,0,1,0,0,0,6249ee6530170c017416d102
21,21,Mummification Museum,21,Luxor,0,0,1,0,1,0,0,1,0,0,0,6249ee6530170c017416d103
22,22,Hurghada Museum,22,Hurghada,0,0,1,1,0,0,0,1,1,0,0,6249ee6530170c017416d104
23,23,Sharm al-Sheikh Museum,23,Sharm al-Sheikh,0,0,1,1,0,0,0,1,1,0,0,6249ee6530170c017416d105
24,24,Saint Catherine's Monastery,24,South of Sina,0,1,0,0,1,0,0,1,1,0,1,6249ee6530170c017416d106
25,25,Citadel of saladin cairo,25,Cairo,0,1,0,0,1,0,0,1,0,1,0,6249ee6530170c017416d107
26,26,The Royal Carriages Museum,26,Cairo,0,0,0,1,1,0,0,1,1,0,0,6249ee6530170c017416d108
27,27,Abdeen Palace,27,Cairo,0,0,0,1,1,0,0,1,1,0,0,6249ee6530170c017416d109
28,28,Citadel of Qaitbay,28,Alexanderia,0,0,0,1,1,0,0,1,1,0,0,6249ee6530170c017416d10a
29,29,Museum of Islamic Art,29,Cairo,0,1,0,1,1,0,0,1,1,1,0,6249ee6530170c017416d10b
30,30,National Museum of Egyptian Civilization(NMEC),30,Cairo,0,0,1,1,1,0,0,1,1,0,0,6249ee6530170c017416d10c
31,31,Baron Empain Palace,31,Cairo,0,0,0,1,0,0,0,1,1,0,0,6249ee6530170c017416d10d
32,32,Cairo Tower,32,Cairo,0,0,0,1,0,0,0,1,1,0,0,6249ee6530170c017416d10e
33,33,Khan el-Khalili,33,Cairo,0,1,0,1,1,1,1,1,1,1,0,6249ee6530170c017416d10f
34,34,Bayt Al-Suhaymi,34,Cairo,0,0,0,0,1,0,0,1,1,1,0,6249ee6530170c017416d110
35,35,Muhammad Ali Pasha Palace,35,Cairo,0,0,0,1,1,0,0,1,1,1,0,6249ee6530170c017416d111
36,36,Muhammad Ali Mosque,36,Cairo,0,1,0,1,1,0,0,1,1,1,0,6249ee6530170c017416d112
37,37,Aswan Museum,37,Aswan,0,0,1,0,1,0,0,1,1,0,0,6249ee6530170c017416d113
38,38,Temple of Kom Ombo,38,Aswan,0,0,1,0,1,0,0,1,0,0,0,6249ee6530170c017416d114
39,39,October War Panorama Museum,39,Cairo,0,0,0,1,0,0,0,1,1,0,0,6249ee6530170c017416d130
40,40,Al-Azhar Mosque,40,Cairo,0,1,0,1,1,0,0,1,0,1,0,6249ee6530170c017416d115
41,41,Sultan Hassan Mosque,41,Cairo,0,1,0,1,1,0,0,1,0,1,0,6249ee6530170c017416d11f
42,42,Mosque of Ibn Tulun,42,Cairo,0,1,0,1,1,0,0,1,0,1,0,6249ee6530170c017416d12f
43,43,Aisha Fahmy Palace,43,Cairo,0,0,0,1,0,0,0,1,1,0,0,random
44,44,The Grand Egyptian Museum,44,Giza,0,0,1,1,1,0,0,1,1,0,0,6249ee6530170c017416d127
45,45,Pharaonic Village,45,Giza,0,0,1,1,1,1,0,1,1,0,0,6249ee6530170c017416d128
46,46,Solar Boat Museum,46,Giza,0,0,1,1,1,0,0,1,1,0,0,6249ee6530170c017416d117
47,47,The Museum of Islamic Ceramics,47,Giza,0,0,0,1,1,0,0,1,0,1,0,6249ee6530170c017416d118
48,48,Egypt Papyrus Museum,48,Giza,0,0,1,1,1,0,0,1,1,0,0,6249ee6530170c017416d129
49,49,Bahariya Oasis,49,Giza,0,0,0,1,1,1,0,0,1,0,0,6249ee6530170c017416d12a
50,50,Agricultural Museum,50,Giza,0,0,0,1,1,1,0,1,0,0,0,6249ee6530170c017416d12b
51,51,Abusir Area,51,Giza,0,0,1,0,1,0,0,1,0,0,0,6249ee6530170c017416d12d
52,52,Mit Rahina Museum,52,Giza,0,0,1,0,1,0,0,1,0,0,0,6249ee6530170c017416d12e
53,53,Graeco-Roman Museum,53,Alexanderia,0,0,0,0,1,0,1,1,0,0,0,6249ee6530170c017416d131
54,54,Alexandria Aquarium,54,Alexanderia,0,0,0,1,0,1,0,0,1,0,0,6249ee6530170c017416d132
55,55,Montaza Palace,55,Alexanderia,0,0,0,1,0,1,0,1,1,0,0,6249ee6530170c017416d116
56,56,Pompey pillar,56,Alexanderia,0,0,1,0,1,0,0,1,0,0,0,6249ee6530170c017416d120
57,57,Nadura Temple,57,Wadi Elgaded,0,0,1,0,1,0,0,1,0,0,0,6249ee6530170c017416d157
58,58,Catacombs of Kom El Shoqafa,58,Alexanderia,0,0,1,0,1,0,1,1,0,0,0,6249ee6530170c017416d133
59,59,Shatby Necropolis,59,Alexanderia,0,0,0,0,1,0,1,1,0,0,0,6249ee6530170c017416d134
60,60,Black Head Temple,60,Alexanderia,0,0,0,0,1,0,1,1,1,0,0,6249ee6530170c017416d135
61,61,Roman Theater,61,Alexanderia,0,0,0,0,1,0,1,1,0,0,0,6249ee6530170c017416d11b
62,62,The sunken cities of Abu Qir,62,Alexanderia,0,0,1,0,1,0,0,1,0,0,0,6249ee6530170c017416d11a
63,63,Cavafy Museum,63,Alexanderia,0,0,0,0,1,0,1,1,1,0,0,6249ee6530170c017416d123
64,64,Alexandria Port,64,Alexanderia,0,0,0,1,0,1,0,0,1,0,0,6249ee6530170c017416d136
65,65,Fine Arts Museum,65,Alexanderia,0,0,0,1,0,1,0,1,1,0,0,6249ee6530170c017416d122
66,66,Mustafa Kamel tombs,66,Alexanderia,0,0,1,0,1,0,1,1,0,0,0,6249ee6530170c017416d124
67,67,Deir el-Bahari Temple,67,Luxor,0,0,1,0,1,0,0,1,0,0,0,6249ee6530170c017416d11c
68,68,Mortuary Temple of Seti I,68,Luxor,0,0,1,0,1,0,0,1,0,0,0,6249ee6530170c017416d13a
69,69,Ramesseum,69,Luxor,0,0,1,0,1,0,0,1,0,0,0,6249ee6530170c017416d125
70,70,Temple of Abydos,70,Luxor,0,0,1,0,1,0,0,1,0,0,0,6249ee6530170c017416d13c
71,71,Temple of Horus,71,Luxor,0,0,1,0,1,0,0,1,0,0,0,6249ee6530170c017416d13b
72,72,Hathor temple,72,Luxor,0,0,1,0,1,0,0,1,0,0,0,6249ee6530170c017416d139
